Area_sqft,Property_BHK,Furnished_Status,Bathroom,Society,Price_(lacks),Status,House_floor,Building_floor,Floor_Category
482,1,Semi-Furnished,2,Polite Panorama,34.0,Ready to Move,6,11,Mid
385,1,Semi-Furnished,2,Polite Panorama,35.0,Ready to Move,8,9,Top
864,2,Semi-Furnished,2,Royal Orange County,95.0,Ready to Move,5,12,Mid
659,2,Unfurnished,2,Dreams Wisteria,34.0,Ready to Move,6,10,Mid
667,2,Semi-Furnished,2,Giriraj Heights,52.0,Ready to Move,6,6,Top
799,2,Unfurnished,2,Ganga Aurum Park,69.0,Ready to Move,4,12,Mid
749,2,Unfurnished,2,Ganga Estoria,58.0,Ready to Move,9,11,Top
461,1,Unfurnished,1,Aero Nest,30.0,Ready to Move,8,8,Top
382,1,Unfurnished,1,Amanora Park Township,47.0,Ready to Move,6,19,Mid
335,1,Furnished,1,Amanora Park Township,35.0,Ready to Move,1,7,Low
601,2,Semi-Furnished,2,11K County,40.0,Ready to Move,6,9,Mid
577,2,Semi-Furnished,2,Aryavedant Residency,51.0,Ready to Move,4,5,Top
577,2,Semi-Furnished,2,Aryavedant Residency,55.0,Ready to Move,4,5,Top
479,1,Unfurnished,1,Shiv Sai Vishwa,53.0,Ready to Move,8,8,Top
674,2,Unfurnished,2,Belvalkar Solacia,55.0,Ready to Move,2,7,Mid
1210,3,Furnished,3,Belvalkar Solacia,120.0,Ready to Move,11,11,Top
507,1,Unfurnished,1,Ivory,30.0,Ready to Move,5,6,Top
420,1,Unfurnished,1,Ivory,26.0,Ready to Move,4,5,Top
1008,2,Semi-Furnished,2,Mavens Viaan,48.0,Ready to Move,2,11,Low
868,2,Furnished,2,Dharamshi Signature,68.0,Ready to Move,1,5,Low
497,1,Semi-Furnished,1,Dhavel Shivtirth,35.0,Ready to Move,1,4,Mid
710,2,Unfurnished,2,Bhalchandra Nagri,66.0,Ready to Move,8,12,Mid
875,3,Semi-Furnished,3,Revell Orchid II,70.0,Ready to Move,7,12,Mid
922,3,Semi-Furnished,2,Urban Forest,100.0,Ready to Move,3,9,Mid
439,1,Unfurnished,1,Sampanna Homes,23.0,Ready to Move,6,7,Top
713,2,Unfurnished,2,Ozone Apartments,45.0,Ready to Move,1,6,Low
504,1,Semi-Furnished,2,Ozone Apartments,33.0,Ready to Move,5,6,Top
701,2,Semi-Furnished,2,Ozone Apartments,52.0,Ready to Move,1,7,Low
844,2,Unfurnished,2,TATA La Montana Phase 1,60.0,Ready to Move,8,10,Top
