Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
677,2 BHK,Unfurnished,Bathroom 2,Vimal Apartment,75 Lac,1 out of 4,Ready to Move
389,1 BHK,Unfurnished,Bathroom 1,Sai Samarth Residency,21 Lac,2 out of 6,Ready to Move
464,1 BHK,Unfurnished,Bathroom 2,Samrudhi Residency,22 Lac,4 out of 5,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Guru Nanak Nagar Shreyas Society Carpet Area 360 sqft Status Ready to Move Floor 1 out of 19 Transaction Resale Furnishing Unfurnished Society Shreyas Society,40 Lac,1 out of 19,Ready to Move
549,2 BHK,Unfurnished,Bathroom 1,Adinath Apartments,50 Lac,4 out of 5,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Akash Residency,38 Lac,2 out of 5,Ready to Move
504,2 BHK,Semi-Furnished,Bathroom 2,Rajesh Landmarks,95 Lac,3 out of 4,Ready to Move
324,1 BHK,Unfurnished,Bathroom 1,Kamakshi CHS,32 Lac,2 out of 3,Ready to Move
458,1 BHK,Semi-Furnished,Bathroom 1,Vihana Mitribute Homes,45 Lac,2 out of 15,Ready to Move
1919,4 BHK,Unfurnished,Bathroom 3,Ganga Satellite,2.80 Cr,7 out of 11,Ready to Move
522,1 BHK,Unfurnished,Bathroom 1,Sai Kashish Park,44 Lac,5 out of 7,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Ishan Heights,20 Lac,3 out of 4,Ready to Move
266,1 BHK,Unfurnished,Bathroom 1,Shivtej Apartment,14 Lac,4 out of 5,Ready to Move
879,2 BHK,Semi-Furnished,Bathroom 2,Narayan Park,65 Lac,2 out of 6,Ready to Move
507,1 BHK,Unfurnished,Bathroom 1,Gagan Lawish,42 Lac,5 out of 11,Ready to Move
507,1 BHK,Unfurnished,Bathroom 1,Gagan Lawish,36 Lac,5 out of 11,Ready to Move
698,2 BHK,Semi-Furnished,Bathroom 2,Gagan Lawish,60 Lac,3 out of 11,Ready to Move
770,2 BHK,Semi-Furnished,Bathroom 2,Gagan Lawish,65 Lac,3 out of 13,Ready to Move
792,3 BHK,Unfurnished,Bathroom 3,Balaji Heights,30 Lac,1 out of 6,Ready to Move
414,2 BHK,Unfurnished,Bathroom 1,Balaji Heights,28 Lac,3 out of 6,Ready to Move
720,2 BHK,Unfurnished,Bathroom 2,Balaji Heights,45 Lac,4 out of 7,Ready to Move
981,3 BHK,Semi-Furnished,Bathroom 3,Surana Bhansali Zinnea,99 Lac,3 out of 13,Ready to Move
454,1 BHK,Semi-Furnished,Bathroom 1,Star City,32 Lac,9 out of 11,Ready to Move
1033,3 BHK,Furnished,Bathroom 3,Belleza,1.20 Cr,1 out of 12,Ready to Move
473,1 BHK,Unfurnished,Bathroom 1,Premia,38 Lac,3 out of 12,Ready to Move
490,1 BHK,Unfurnished,Bathroom 1,Belle Vie,32 Lac,11 out of 11,Ready to Move
752,2 BHK,Semi-Furnished,Bathroom 2,Belle Vie,55 Lac,11 out of 11,Ready to Move
576,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,40 Lac,4 out of 7,Ready to Move
626,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,42 Lac,4 out of 7,Ready to Move
641,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,44 Lac,1 out of 14,Ready to Move
652,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,47 Lac,5 out of 7,Ready to Move
680,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,45 Lac,5 out of 8,Ready to Move
418,1 BHK,Unfurnished,Bathroom 2,Sunshine Hills,27 Lac,8 out of 10,Ready to Move
475,1 BHK,Semi-Furnished,Bathroom 1,Sunshine Hills,30 Lac,5 out of 7,Ready to Move
680,2 BHK,Unfurnished,Bathroom 2,Sunshine Hills,42 Lac,7 out of 7,Ready to Move
475,1 BHK,Semi-Furnished,Bathroom 1,Sunshine Hills,27.9 Lac,2 out of 7,Ready to Move
648,2 BHK,Unfurnished,Bathroom 2,Silver Springs,50 Lac,6 out of 12,Ready to Move
662,2 BHK,Semi-Furnished,Bathroom 2,Silver Springs,45 Lac,9 out of 11,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Silver Springs,28 Lac,4 out of 11,Ready to Move
414,2 BHK,Unfurnished,Bathroom 1,Blessings,38 Lac,11 out of 15,Ready to Move
