Area,Property,Furnished Status,Bathroom,Society,Price,Floor,Status
529,2 BHK,Unfurnished,Bathroom 2,Rahi Regancy Narhe,32 Lac,5 out of 6,Ready to Move
684,2 BHK,Semi-Furnished,Bathroom 2,Gayatri Apartment,78 Lac,3 out of 4,Ready to Move
570,1 BHK,Furnished,Bathroom 1,Shree Ganesh Vihar,49 Lac,5 out of 6,Ready to Move
572,2 BHK,Semi-Furnished,Bathroom 2,Kamal Baug Society,37 Lac,10 out of 12,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Solitaire Paradise,42 Lac,2 out of 7,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Solitaire Paradise,41 Lac,4 out of 8,Ready to Move
756,2 BHK,Semi-Furnished,Bathroom 3,Dhanlaxmi Residency,95 Lac,6 out of 9,Ready to Move
638,2 BHK,Semi-Furnished,Bathroom 2,Venkatesh Residency,35 Lac,5 out of 7,Ready to Move
441,1 BHK,Semi-Furnished,Bathroom 1,Venkatesh Residency,27 Lac,3 out of 7,Ready to Move
691,2 BHK,Semi-Furnished,Bathroom 2,Venkatesh Residency,32 Lac,6 out of 7,Ready to Move
576,2 BHK,Unfurnished,Bathroom 2,Venkatesh Residency,30 Lac,2 out of 6,Ready to Move
811,2 BHK,Unfurnished,Bathroom 2,Wakad Dhanraj Park Society Carpet Area 811 sqft Status Ready to Move Floor 6 out of 6 Transaction Resale Furnishing Unfurnished Society Dhanraj Park Society,75 Lac,6 out of 6,Ready to Move
605,2 BHK,Furnished,Bathroom 2,Satya River Apartment,95 Lac,2 out of 6,Ready to Move
608,2 BHK,Furnished,Bathroom 2,Shubhashree Residency,72 Lac,2 out of 7,Ready to Move
734,2 BHK,Semi-Furnished,Bathroom 2,Sunshine Hills Phase 2,50 Lac,2 out of 12,Ready to Move
441,1 BHK,Semi-Furnished,Bathroom 1,Bhakti Pride Apartment,25 Lac,2 out of 4,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Setpal Karishma Platinum,38 Lac,2 out of 5,Ready to Move
428,1 BHK,Semi-Furnished,Bathroom 1,Setpal Karishma Platinum,27 Lac,4 out of 4,Ready to Move
424,1 BHK,Unfurnished,Bathroom 1,Gandharva Nagari Community,25 Lac,5 out of 6,Ready to Move
499,1 BHK,Unfurnished,Bathroom 1,Nakshatra,22 Lac,2 out of 4,Ready to Move
720,2 BHK,Unfurnished,Bathroom 2,Shobha Empire,48 Lac,3 out of 5,Ready to Move
684,2 BHK,Semi-Furnished,Bathroom 2,Venkatesh Paradise,43 Lac,5 out of 11,Ready to Move
711,2 BHK,Unfurnished,Bathroom 2,Shruti Icon,60 Lac,6 out of 6,Ready to Move
702,2 BHK,Unfurnished,Bathroom 2,Green Estate,40 Lac,8 out of 9,Ready to Move
689,2 BHK,Semi-Furnished,Bathroom 2,Green Estate,42 Lac,5 out of 80,Ready to Move
684,2 BHK,Furnished,Bathroom 2,Yogesh Gandharv Excellencee,60 Lac,8 out of 12,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Balaji Nisarg,20 Lac,1 out of 4,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Balaji Nisarg,18 Lac,1 out of 5,Ready to Move
468,1 BHK,Furnished,Bathroom 1,Alpine Aura,36 Lac,1 out of 8,Ready to Move
439,2 BHK,Unfurnished,Bathroom 1,Amar Deep,52 Lac,3 out of 3,Ready to Move
410,1 BHK,Semi-Furnished,Bathroom 1,Amar Preet,35 Lac,2 out of 5,Ready to Move
626,2 BHK,Semi-Furnished,Bathroom 2,Amar Plaza,1.25 Cr,1 out of 3,Ready to Move
1152,3 BHK,Semi-Furnished,Bathroom 3,Anshul Athena,1.13 Cr,5 out of 11,Ready to Move
594,2 BHK,Furnished,Bathroom 2,Celebria Apartment,86 Lac,1 out of 4,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 2,The Kate Residency,65 Lac,4 out of 4,Ready to Move
495,1 BHK,Unfurnished,Bathroom 1,Arihanta Aastha,41 Lac,3 out of 4,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,ARK Prem Alfa Homes Phase 2,25.5 Lac,7 out of 8,Ready to Move
468,1 BHK,Unfurnished,Bathroom 2,Amber Hills,35 Lac,1 out of 4,Ready to Move
438,1 BHK,Unfurnished,Bathroom 1,Ashirwad Classic,33 Lac,2 out of 4,Ready to Move
2160,4 BHK,Unfurnished,Bathroom 4,Ashirwad Residency,3.25 Cr,1 out of 5,Ready to Move
1058,4 BHK,Semi-Furnished,Bathroom 3,Madhu Kamal Apartments,1.70 Cr,2 out of 4,Ready to Move
410,1 BHK,Unfurnished,Bathroom 1,Project Atur Nagar,25 Lac,4 out of 4,Ready to Move
972,3 BHK,Semi-Furnished,Bathroom 3,Atur Terraces,1.50 Cr,3 out of 5,Ready to Move
972,3 BHK,Furnished,Bathroom 3,Atur Terraces,1.45 Cr,2 out of 5,Ready to Move
418,1 BHK,Unfurnished,Bathroom 1,Ekta Residency,30 Lac,3 out of 6,Ready to Move
619,2 BHK,Unfurnished,Bathroom 2,Bansal City,43 Lac,1 out of 6,Ready to Move
365,1 BHK,Unfurnished,Bathroom 1,Bansal City,30 Lac,5 out of 6,Ready to Move
616,2 BHK,Unfurnished,Bathroom 2,Belvalkar Solacia,38 Lac,1 out of 7,Ready to Move
846,2 BHK,Unfurnished,Bathroom 2,Bhansali Whispering Winds,95 Lac,1 out of 7,Ready to Move
540,2 BHK,Unfurnished,Bathroom 2,Bharucha Collina,25 Lac,3 out of 12,Ready to Move
627,2 BHK,Unfurnished,Bathroom 2,Bharucha Collina,40.5 Lac,5 out of 11,Ready to Move
612,2 BHK,Furnished,Bathroom 2,Krishna Vatika,55 Lac,1 out of 6,Ready to Move
439,1 BHK,Semi-Furnished,Bathroom 1,Bora Planet,51 Lac,2 out of 8,Ready to Move
1512,4 BHK,Furnished,Bathroom 3,Sada Shubh Complex,1.50 Cr,Ground out of 4,Ready to Move
396,1 BHK,Semi-Furnished,Bathroom 1,DSK Janhavi,40 Lac,1 out of 5,Ready to Move
648,2 BHK,Semi-Furnished,Bathroom 2,DSK Vidyanagari,78 Lac,3 out of 4,Ready to Move
450,1 BHK,Unfurnished,Bathroom 1,Ashwini Apartment,25 Lac,Ground out of 5,Ready to Move
720,2 BHK,Semi-Furnished,Bathroom 2,Project Kamala City,65 Lac,4 out of 7,Ready to Move
436,1 BHK,Semi-Furnished,Bathroom 1,Project Kamala City,40.5 Lac,6 out of 6,Ready to Move
3096,5 BHK,Furnished,Bathroom 5,The Gateway,5 Cr,1 out of 10,Ready to Move
598,2 BHK,Unfurnished,Bathroom 2,Ozone Greens,33 Lac,1 out of 4,Ready to Move
387,1 BHK,Unfurnished,Bathroom 1,Shiv Classic,29 Lac,5 out of 7,Ready to Move
383,1 BHK,Unfurnished,Bathroom 1,Shiv Classic,32 Lac,5 out of 8,Ready to Move
425,1 BHK,Semi-Furnished,Bathroom 1,Shiv Classic,30 Lac,7 out of 7,Ready to Move
540,2 BHK,Unfurnished,Bathroom 2,Project Motiram Nagar,68 Lac,2 out of 5,Ready to Move
540,2 BHK,Semi-Furnished,Bathroom 2,Balbhim Park,55 Lac,5 out of 6,Ready to Move
454,1 BHK,Unfurnished,Bathroom 1,Sawant Vihar,45 Lac,2 out of 6,Ready to Move
976,2 BHK,Unfurnished,Bathroom 2,Rahi Emerald,62 Lac,5 out of 6,Ready to Move
432,2 BHK,Furnished,Bathroom 2,Vinayak Park,32 Lac,4 out of 5,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Vinayak Park,20.5 Lac,3 out of 4,Ready to Move
432,1 BHK,Unfurnished,Bathroom 2,Nancy Gardens,36 Lac,7 out of 7,Ready to Move
400,1 BHK,Semi-Furnished,Bathroom 1,Rajyog Society,39 Lac,1 out of 3,Ready to Move
398,1 BHK,Semi-Furnished,Bathroom 1,Rajyog Society,25 Lac,1 out of 4,Ready to Move
720,2 BHK,Semi-Furnished,Bathroom 2,Parande Woods,60 Lac,9 out of 10,Ready to Move
365,1 BHK,Unfurnished,Bathroom 1,Sara Orchids,18 Lac,12 out of 13,Ready to Move
467,1 BHK,Furnished,Bathroom 1,Sara Orchids,25 Lac,11 out of 13,Ready to Move
513,1 BHK,Unfurnished,Bathroom 1,Sara Orchids,21 Lac,1 out of 13,Ready to Move
436,1 BHK,Unfurnished,Bathroom 1,Sara Orchids,26 Lac,12 out of 13,Ready to Move
467,1 BHK,Unfurnished,Bathroom 2,Sara Orchids,25 Lac,5 out of 12,Ready to Move
631,2 BHK,Unfurnished,Bathroom 2,Sarthak Beaulieu,38.5 Lac,9 out of 9,Ready to Move
648,2 BHK,Unfurnished,Bathroom 2,Tara City,30 Lac,3 out of 12,Ready to Move
463,1 BHK,Unfurnished,Bathroom 1,Tara City,23 Lac,10 out of 12,Ready to Move
708,2 BHK,Furnished,Bathroom 2,Madhav Nilay,60 Lac,4 out of 4,Ready to Move
418,1 BHK,Semi-Furnished,Bathroom 1,Induban Residency,35 Lac,6 out of 9,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Induban Residency,32 Lac,3 out of 8,Ready to Move
576,2 BHK,Unfurnished,Bathroom 2,Shubh Gloriya,47 Lac,1 out of 5,Ready to Move
566,1 BHK,Semi-Furnished,Bathroom 1,Sparkle Avenue,36 Lac,Ground out of 5,Ready to Move
437,1 BHK,Unfurnished,Bathroom 1,Sukhwani Palms,32 Lac,6 out of 11,Ready to Move
850,2 BHK,Semi-Furnished,Bathroom 2,Mayuri Enclave,46 Lac,3 out of 8,Ready to Move
738,2 BHK,Semi-Furnished,Bathroom 2,Sukhwani Bliss,1 Cr,1 out of 7,Ready to Move
364,1 BHK,Semi-Furnished,Bathroom 1,Shivam Guruvihar,20 Lac,4 out of 5,Ready to Move
673,2 BHK,Furnished,Bathroom 2,Ujjwal High Bliss,61 Lac,2 out of 8,Ready to Move
842,3 BHK,Unfurnished,Bathroom 2,The Metropolitan,1.10 Cr,11 out of 12,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Krishna Paradise,25 Lac,6 out of 13,Ready to Move
421,1 BHK,Unfurnished,Bathroom 1,Krishna Paradise,20.5 Lac,4 out of 12,Ready to Move
667,2 BHK,Unfurnished,Bathroom 2,Rustic Paradise,60 Lac,6 out of 7,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Nandini Atharva,30 Lac,3 out of 6,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 1,Rohit Residency,40 Lac,5 out of 7,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Radiant Heights,30 Lac,3 out of 5,Ready to Move
605,2 BHK,Semi-Furnished,Bathroom 1,Sai Ganesh Dham,30 Lac,5 out of 5,Ready to Move
446,1 BHK,Unfurnished,Bathroom 1,Sahara Apartment,42 Lac,4 out of 5,Ready to Move
660,2 BHK,Semi-Furnished,Bathroom 2,Gulmohar Blossom,69 Lac,4 out of 6,Ready to Move
497,1 BHK,Unfurnished,Bathroom 1,Chourang Smitshilp,38 Lac,1 out of 7,Ready to Move
576,2 BHK,Furnished,Bathroom 2,Viman Nagar Parijaat Society Carpet Area 576 sqft Status Ready to Move Floor 4 out of 6 Transaction Resale Furnishing Furnished Society Parijaat Society,1.35 Cr,4 out of 6,Ready to Move
479,2 BHK,Furnished,Bathroom 2,D9 Popular Nagar,65 Lac,3 out of 4,Ready to Move
648,2 BHK,Unfurnished,Bathroom 2,Shree Hans Garden,62 Lac,1 out of 5,Ready to Move
580,2 BHK,Semi-Furnished,Bathroom 2,Shree Hans Garden,60 Lac,2 out of 5,Ready to Move
656,2 BHK,Semi-Furnished,Bathroom 2,Shivam Residency,75 Lac,1 out of 5,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Tanish Sanskruti,35 Lac,5 out of 7,Ready to Move
796,3 BHK,Unfurnished,Bathroom 2,Kimaya Residency,95 Lac,Ground out of 4,Ready to Move
479,2 BHK,Semi-Furnished,Bathroom 1,Akshay Residency,55 Lac,4 out of 5,Ready to Move
706,2 BHK,Semi-Furnished,Bathroom 2,Mahadev Apartments,1 Cr,4 out of 5,Ready to Move
666,2 BHK,Unfurnished,Bathroom 2,Pudumjee Paradise,1 Cr,2 out of 4,Ready to Move
450,1 BHK,Unfurnished,Bathroom 1,Binawat Residency,30 Lac,1 out of 3,Ready to Move
421,1 BHK,Furnished,Bathroom 1,Palace Orchard CHS,35 Lac,Ground out of 4,Ready to Move
908,2 BHK,Semi-Furnished,Bathroom 2,Dimension Heights,48 Lac,1 out of 6,Ready to Move
709,2 BHK,Unfurnished,Bathroom 2,Satyam Greenfields,75 Lac,3 out of 7,Ready to Move
407,1 BHK,Unfurnished,Bathroom 1,Wagholi Wagheshwar Society Carpet Area 407 sqft Status Ready to Move Floor 3 out of 4 Transaction Resale Furnishing Unfurnished Society Wagheshwar Society,20 Lac,3 out of 4,Ready to Move
540,1 BHK,Semi-Furnished,Bathroom 1,Chandrama Residency,28 Lac,1 out of 4,Ready to Move
536,2 BHK,Furnished,Bathroom 2,Tirumala Residency,45 Lac,4 out of 5,Ready to Move
508,2 BHK,Unfurnished,Bathroom 2,Tirumala Residency,35 Lac,4 out of 5,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Project Amba Nagari,37 Lac,2 out of 6,Ready to Move
329,1 BHK,Unfurnished,Bathroom 1,Project Amba Nagari,40 Lac,2 out of 5,Ready to Move
385,1 BHK,Semi-Furnished,Bathroom 1,Amit Colori,32 Lac,11 out of 12,Ready to Move
360,1 BHK,Unfurnished,Bathroom 1,Amit Colori,40 Lac,1 out of 10,Ready to Move
418,1 BHK,Semi-Furnished,Bathroom 1,Amit Colori,32 Lac,9 out of 12,Ready to Move
326,1 BHK,Semi-Furnished,Bathroom 1,Hillock Towers,33 Lac,4 out of 11,Ready to Move
610,2 BHK,Semi-Furnished,Bathroom 2,Arun Park,55 Lac,6 out of 6,Ready to Move
614,2 BHK,Semi-Furnished,Bathroom 2,Arun Park,55 Lac,6 out of 6,Ready to Move
440,1 BHK,Unfurnished,Bathroom 1,Arun Park,36 Lac,5 out of 6,Ready to Move
698,2 BHK,Semi-Furnished,Bathroom 2,Oxygen Valley,53 Lac,7 out of 7,Ready to Move
414,1 BHK,Semi-Furnished,Bathroom 1,Oxygen Valley,32 Lac,1 out of 5,Ready to Move
571,2 BHK,Unfurnished,Bathroom 1,Laxmi Niwas,70 Lac,3 out of 3,Ready to Move
675,2 BHK,Furnished,Bathroom 2,Belvalkar Chaitrangan,56 Lac,2 out of 7,Ready to Move
392,1 BHK,Unfurnished,Bathroom 1,Bhakti Darshan,44 Lac,2 out of 6,Ready to Move
666,2 BHK,Unfurnished,Bathroom 2,Bhakti Enclave,45 Lac,1 out of 3,Ready to Move
583,2 BHK,Unfurnished,Bathroom 2,Bhakti Paradise,58 Lac,2 out of 4,Ready to Move
583,2 BHK,Furnished,Bathroom 2,Shraddha Heritage,66.5 Lac,1 out of 3,Ready to Move
600,2 BHK,Unfurnished,Bathroom 2,Bharucha Collina,45 Lac,2 out of 10,Ready to Move
612,2 BHK,Semi-Furnished,Bathroom 2,Ujwal Park Apartments,54.4 Lac,1 out of 4,Ready to Move
562,2 BHK,Unfurnished,Bathroom 2,Ujwal Park Apartments,38 Lac,Ground out of 5,Ready to Move
684,2 BHK,Unfurnished,Bathroom 2,Bora Happy Homes,75 Lac,1 out of 3,Ready to Move
396,1 BHK,Semi-Furnished,Bathroom 1,Bramha Aangan,39 Lac,1 out of 4,Ready to Move
734,2 BHK,Unfurnished,Bathroom 2,Bramha Aangan Carpet Area 734 sqft Status Ready to Move Floor 1 out of 7 Transaction Resale Furnishing Unfurnished Society Bramha Aangan,75 Lac,1 out of 7,Ready to Move
1015,3 BHK,Unfurnished,Bathroom 3,Bramha Estate,87 Lac,6 out of 11,Ready to Move
1080,3 BHK,Semi-Furnished,Bathroom 3,Bramha Estate,87 Lac,6 out of 11,Ready to Move
893,3 BHK,Unfurnished,Bathroom 2,Bramha Estate,95 Lac,6 out of 7,Ready to Move
392,1 BHK,Unfurnished,Bathroom 1,Bibwewadi Vimal Vihar Society Carpet Area 392 sqft Status Ready to Move Floor 2 out of 3 Transaction Resale Furnishing Unfurnished Society Vimal Vihar Society,46 Lac,2 out of 3,Ready to Move
616,1 BHK,Unfurnished,Bathroom 2,Whitefield Apartments,65 Lac,3 out of 8,Ready to Move
907,3 BHK,Semi-Furnished,Bathroom 3,Dwarkadheesh Residency,87 Lac,1 out of 7,Ready to Move
1123,3 BHK,Semi-Furnished,Bathroom 3,Shubhashree Residency,1.05 Cr,4 out of 8,Ready to Move
1008,3 BHK,Semi-Furnished,Bathroom 2,Bhakti Pride Apartment,80 Lac,3 out of 3,Ready to Move
634,2 BHK,Unfurnished,Bathroom 2,Agarwal Ganga Residency,85 Lac,Ground out of 4,Ready to Move
576,2 BHK,Unfurnished,Bathroom 2,Setpal Karishma Platinum,65 Lac,4 out of 4,Ready to Move
879,3 BHK,Unfurnished,Bathroom 3,Gandharva Nagari Community,60 Lac,5 out of 6,Ready to Move
396,1 BHK,Unfurnished,Bathroom 1,Gandharva Nagari Community,25 Lac,6 out of 7,Ready to Move
367,1 BHK,Semi-Furnished,Bathroom 1,Shreeniwas Greenland County,36 Lac,3 out of 5,Ready to Move
443,1 BHK,Unfurnished,Bathroom 1,Kamaldeep Gardens,30 Lac,3 out of 4,Ready to Move
900,3 BHK,Semi-Furnished,Bathroom 2,Chandra Nagari,1.50 Cr,3 out of 3,Ready to Move
446,1 BHK,Unfurnished,Bathroom 1,Moraya Nagari,37 Lac,1 out of 4,Ready to Move
406,2 BHK,Semi-Furnished,Bathroom 1,Paschimanagari,76 Lac,2 out of 4,Ready to Move
785,2 BHK,Semi-Furnished,Bathroom 2,Etasha Apartment,50 Lac,7 out of 9,Ready to Move
718,2 BHK,Unfurnished,Bathroom 2,SilverWood,73.5 Lac,2 out of 4,Ready to Move
900,2 BHK,Semi-Furnished,Bathroom 2,The Latitude,1.10 Cr,4 out of 12,Ready to Move
864,2 BHK,Unfurnished,Bathroom 2,Moghul Garden,2 Cr,1 out of 7,Ready to Move
792,2 BHK,Unfurnished,Bathroom 2,Aawas,52 Lac,3 out of 6,Ready to Move
760,2 BHK,Furnished,Bathroom 2,Aawas,55 Lac,3 out of 4,Ready to Move
1289,2 BHK,Furnished,Bathroom 2,Olive Orchard,80 Lac,1 out of 11,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Olive Orchard,52 Lac,2 out of 11,Ready to Move
708,2 BHK,Unfurnished,Bathroom 2,Nakshatra,60 Lac,1 out of 11,Ready to Move
618,2 BHK,Unfurnished,Bathroom 2,Alfa Landmark,42 Lac,8 out of 12,Ready to Move
626,2 BHK,Unfurnished,Bathroom 2,Alfa Landmark,43 Lac,8 out of 12,Ready to Move
648,2 BHK,Semi-Furnished,Bathroom 2,Alfa Landmark,45 Lac,9 out of 12,Ready to Move
441,1 BHK,Unfurnished,Bathroom 1,Alfa Landmark,32 Lac,8 out of 13,Ready to Move
441,1 BHK,Furnished,Bathroom 1,Alfa Landmark,35 Lac,9 out of 10,Ready to Move
428,1 BHK,Unfurnished,Bathroom 1,Alfa Landmark,32 Lac,8 out of 10,Ready to Move
436,1 BHK,Unfurnished,Bathroom 1,Aryavedant Residency,38 Lac,4 out of 6,Ready to Move
454,1 BHK,Semi-Furnished,Bathroom 2,Shiv Sai Vishwa,60 Lac,3 out of 7,Ready to Move
346,1 BHK,Unfurnished,Bathroom 1,Shiv Sai Vishwa,56 Lac,2 out of 8,Ready to Move
475,1 BHK,Semi-Furnished,Bathroom 1,Indu Heights,34 Lac,4 out of 11,Ready to Move
518,1 BHK,Semi-Furnished,Bathroom 1,Vishwavihar,37 Lac,7 out of 10,Ready to Move
288,1 BHK,Furnished,Bathroom 1,Laxmi Heights,42 Lac,3 out of 8,Ready to Move
540,1 BHK,Unfurnished,Bathroom 2,Sunrise Fortune,37 Lac,1 out of 5,Ready to Move
472,1 BHK,Semi-Furnished,Bathroom 1,Sunrise Fortune,35 Lac,2 out of 4,Ready to Move
634,2 BHK,Unfurnished,Bathroom 2,Shree Sai Swapna Nagari,26 Lac,3 out of 3,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Shree Sai Swapna Nagari,25 Lac,5 out of 6,Ready to Move
702,2 BHK,Unfurnished,Bathroom 2,Shree Sai Swapna Nagari,32 Lac,9 out of 12,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Shree Sai Swapna Nagari,25 Lac,5 out of 7,Ready to Move
706,2 BHK,Semi-Furnished,Bathroom 2,Aurum Vatika Phase 2,63 Lac,3 out of 5,Ready to Move
371,1 BHK,Semi-Furnished,Bathroom 1,Radhika Park,30 Lac,2 out of 6,Ready to Move
755,2 BHK,Unfurnished,Bathroom 2,Dream Lynnea,42 Lac,10 out of 12,Ready to Move
436,1 BHK,Unfurnished,Bathroom 1,Guruchaya Residency,50 Lac,2 out of 3,Ready to Move
379,1 BHK,Unfurnished,Bathroom 1,Naiknavare Dwarka Township,16.8 Lac,2 out of 4,Ready to Move
408,1 BHK,Unfurnished,Bathroom 1,Naiknavare Dwarka Township,17.5 Lac,3 out of 7,Ready to Move
432,1 BHK,Semi-Furnished,Bathroom 1,Naiknavare Dwarka Township,22 Lac,1 out of 5,Ready to Move
403,1 BHK,Unfurnished,Bathroom 1,Naiknavare Dwarka Township,19 Lac,3 out of 8,Ready to Move
382,1 BHK,Unfurnished,Bathroom 1,Naiknavare Dwarka Township,18 Lac,2 out of 4,Ready to Move
303,1 BHK,Unfurnished,Bathroom 1,Naiknavare Dwarka Township,16 Lac,8 out of 8,Ready to Move
2160,3 BHK,Semi-Furnished,Bathroom 3,Nandan Festiva,5 Cr,5 out of 12,Ready to Move
765,2 BHK,Semi-Furnished,Bathroom 2,Nilesh Samruddhi,55 Lac,7 out of 12,Ready to Move
396,1 BHK,Semi-Furnished,Bathroom 1,Panchavati Nest,35 Lac,2 out of 5,Ready to Move
655,2 BHK,Unfurnished,Bathroom 2,Pushpa Pearl,52 Lac,5 out of 8,Ready to Move
720,2 BHK,Furnished,Bathroom 2,G Corp Hillside,45 Lac,7 out of 8,Ready to Move
714,2 BHK,Unfurnished,Bathroom 2,Gagan Micasaa,55 Lac,2 out of 12,Ready to Move
828,2 BHK,Furnished,Bathroom 2,Gagan Micasaa,55 Lac,1 out of 15,Ready to Move
714,2 BHK,Unfurnished,Bathroom 2,Gagan Micasaa,50 Lac,8 out of 14,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Gagan Akanksha,30 Lac,6 out of 7,Ready to Move
565,2 BHK,Unfurnished,Bathroom 2,Gagan Akanksha,32 Lac,4 out of 8,Ready to Move
536,2 BHK,Unfurnished,Bathroom 2,Gagan Akanksha,40 Lac,5 out of 7,Ready to Move
536,2 BHK,Unfurnished,Bathroom 2,Gagan Akanksha,35 Lac,3 out of 7,Ready to Move
432,1 BHK,Unfurnished,Bathroom 1,Ganga Aria,40 Lac,14 out of 15,Ready to Move
900,2 BHK,Semi-Furnished,Bathroom 2,Siddhartha Tower,60 Lac,2 out of 7,Ready to Move
459,1 BHK,Semi-Furnished,Bathroom 1,Kanchan Comfortz,38 Lac,1 out of 8,Ready to Move
449,1 BHK,Semi-Furnished,Bathroom 1,Kanchan Comfortz,40 Lac,2 out of 9,Ready to Move
1134,3 BHK,Semi-Furnished,Bathroom 3,Karia Konark Meadows,1.05 Cr,3 out of 11,Ready to Move
901,0 BHK,Semi-Furnished,Bathroom 3,Kasturi Eon Homes,1.30 Cr,14 out of 20,Ready to Move
473,1 BHK,Unfurnished,Bathroom 1,Kate Hollyhock City,35 Lac,5 out of 9,Ready to Move
473,1 BHK,Unfurnished,Bathroom 1,Kate Hollyhock City,35 Lac,7 out of 9,Ready to Move
360,1 BHK,Semi-Furnished,Bathroom 1,Kate Hollyhock City,40 Lac,9 out of 10,Ready to Move
684,2 BHK,Semi-Furnished,Bathroom 2,Unique Enclave,75 Lac,4 out of 5,Ready to Move
821,2 BHK,Furnished,Bathroom 2,Unique Enclave,95 Lac,3 out of 4,Ready to Move
660,2 BHK,Unfurnished,Bathroom 2,Kaypee 14 Plus,40 Lac,2 out of 4,Ready to Move
639,2 BHK,Semi-Furnished,Bathroom 2,Saudagar Garden,45 Lac,4 out of 7,Ready to Move
621,2 BHK,Unfurnished,Bathroom 2,Bhujbal Dew Drops,40 Lac,3 out of 4,Ready to Move
612,2 BHK,Unfurnished,Bathroom 2,Aqua Blue,60 Lac,1 out of 11,Ready to Move
755,2 BHK,Unfurnished,Bathroom 2,Aqua Blue,62 Lac,4 out of 12,Ready to Move
498,1 BHK,Unfurnished,Bathroom 1,Hemant Sunville,40 Lac,5 out of 10,Ready to Move
639,2 BHK,Unfurnished,Bathroom 2,Hemant Sunville,52 Lac,1 out of 13,Ready to Move
468,1 BHK,Semi-Furnished,Bathroom 1,Ceratec City,32 Lac,6 out of 11,Ready to Move
763,2 BHK,Unfurnished,Bathroom 2,Chandan Colozium,70 Lac,4 out of 12,Ready to Move
989,3 BHK,Unfurnished,Bathroom 3,Oriana,1.20 Cr,5 out of 11,Ready to Move
648,2 BHK,Unfurnished,Bathroom 2,Sunshine,40 Lac,5 out of 9,Ready to Move
814,2 BHK,Unfurnished,Bathroom 2,Clover Casablanca,42 Lac,1 out of 5,Ready to Move
288,1 BHK,Furnished,Bathroom 1,Clover Casablanca,35 Lac,4 out of 4,Ready to Move
527,1 BHK,Semi-Furnished,Bathroom 1,Shaurya Homes,42 Lac,3 out of 4,Ready to Move
310,2 BHK,Unfurnished,Bathroom 2,Dreams Nivara,28 Lac,1 out of 4,Ready to Move
294,2 BHK,Unfurnished,Bathroom 2,Dreams Nivara,15.1 Lac,3 out of 4,Ready to Move
844,3 BHK,Unfurnished,Bathroom 2,Majestique City,70 Lac,1 out of 12,Ready to Move
658,2 BHK,Semi-Furnished,Bathroom 2,Ira,49.5 Lac,11 out of 12,Ready to Move
356,1 BHK,Unfurnished,Bathroom 1,Apla Ghar Ranjangaon,21 Lac,3 out of 7,Ready to Move
464,1 BHK,Unfurnished,Bathroom 1,Aapla Ghar Lonikand,29 Lac,4 out of 12,Ready to Move
1130,3 BHK,Furnished,Bathroom 2,Bhaveshwar Height,77 Lac,3 out of 13,Ready to Move
495,1 BHK,Semi-Furnished,Bathroom 1,Hir Ban Residency,34 Lac,5 out of 5,Ready to Move
472,1 BHK,Unfurnished,Bathroom 1,Gokulam,33 Lac,6 out of 6,Ready to Move
446,1 BHK,Semi-Furnished,Bathroom 1,Kesar Valley,32 Lac,3 out of 8,Ready to Move
420,2 BHK,Unfurnished,Bathroom 2,Eiffel Xrbia,24 Lac,7 out of 7,Ready to Move
504,1 BHK,Unfurnished,Bathroom 2,Shri Sai 7th Heaven,36 Lac,2 out of 12,Ready to Move
497,1 BHK,Semi-Furnished,Bathroom 2,Shri Sai 7th Heaven,38 Lac,6 out of 12,Ready to Move
726,2 BHK,Unfurnished,Bathroom 2,Tanish Icon,60 Lac,4 out of 10,Ready to Move
612,1 BHK,Semi-Furnished,Bathroom 1,,37 Lac,Ground out of 3,Ready to Move
439,1 BHK,Semi-Furnished,Bathroom 1,,26 Lac,3 out of 4,Ready to Move
410,1 BHK,Unfurnished,Bathroom 1,,30 Lac,Ground out of 4,Ready to Move
461,1 BHK,Unfurnished,Bathroom 1,B U Bhandari Skyline,38 Lac,4 out of 5,Ready to Move
457,2 BHK,Semi-Furnished,Bathroom 2,Tanishq Apartment,55 Lac,6 out of 8,Ready to Move
482,1 BHK,Unfurnished,Bathroom 2,Silver Oak,45 Lac,6 out of 8,Ready to Move
